RecordKey	SurveyKey	SampleKey	StartDate	EndDate	DateType	Date	TaxonVersionKey	TaxonName	GridReference	East	North	Projection	Precision	SiteKey	SiteName	Recorder	Determiner	ZeroAbundance	UnderValidation	ImagePath	Determiner name	Abundance	Record comment	Life stage	Sex
24509564623781968			16/08/2012	16/08/2012	D	16/08/2012	NBNSYS0000005624	Aeshna juncea	B778182	177850	418250	OSI	100		The Rosses	Rob Wheeldon		False	False		Rob Wheeldon	<10		Adult	Male
24509564623781969			30/06/2012	30/06/2012	D	30/06/2012	NHMSYS0000344179	Ischnura elegans	B846471	184650	447150	OSI	100		Tory Island	K. Finch		False	False		K. Finch	1		Adult	
24509564623781970			21/08/2014	21/08/2014	D	21/08/2014	NBNSYS0000005624	Aeshna juncea	C071346	207150	434650	OSI	100		Ards Forest Park	Liam Lysaght		False	False		Liam Lysaght				
24509564623781971			21/08/2014	21/08/2014	D	21/08/2014	NBNSYS0000005645	Sympetrum striolatum	C071346	207150	434650	OSI	100		Ards Forest Park	Liam Lysaght		False	False		Liam Lysaght				
24509564623781972			15/06/2014	15/06/2014	D	15/06/2014	NBNSYS0000005606	Coenagrion puella	C350238	235050	423850	OSI	100		Inch Lake	Lynne Gillespie		False	False		Lynne Gillespie		Saw both sexes		
24509564623781973			01/06/2013	01/06/2013	D	01/06/2013	NBNSYS0000005599	Pyrrhosoma nymphula	C397591	239750	459150	OSI	100		Malin Head	Ronan McLaughlin		False	False		Ronan McLaughlin	1			
24509564623781974			01/06/2013	01/06/2013	D	01/06/2013	NBNSYS0000005639	Libellula quadrimaculata	C397591	239750	459150	OSI	100		Malin Head	Ronan McLaughlin		False	False		Ronan McLaughlin	2			
24509564623781975			01/06/2013	01/06/2013	D	01/06/2013	NBNSYS0000005645	Sympetrum striolatum	C397591	239750	459150	OSI	100		Malin Head	Ronan McLaughlin		False	False		Ronan McLaughlin	1			
24509564623781976			01/06/2013	01/06/2013	D	01/06/2013	NBNSYS0000005651	Sympetrum danae	C397591	239750	459150	OSI	100		Malin Head	Ronan McLaughlin		False	False		Ronan McLaughlin	2			
24509564623781977			04/09/2013	04/09/2013	D	04/09/2013	NBNSYS0000005645	Sympetrum striolatum	C424142	242450	414250	OSI	100		Unused Quarry	Christine Cassidy		False	False		Christine Cassidy	4			
24509564623781978			30/06/2014	30/06/2014	D	30/06/2014	NBNSYS0000005606	Coenagrion puella	C477231	247750	423150	OSI	100		Culmore	Lynne Gillespie		False	False		Lynne Gillespie		Never seen them here before		
24509564623781979			06/09/2013	06/09/2013	D	06/09/2013	NBNSYS0000005645	Sympetrum striolatum	C607386	260750	438650	OSI	100		Moville	Mark Daly		False	False		Mark Daly	<10			
24509564623781980			03/07/2015	03/07/2015	D	03/07/2015	NBNSYS0000005599	Pyrrhosoma nymphula	D130249	313050	424950	OSI	100		Slievenorra Forest	David Nixon; Philip McHaffie		False	False		David Nixon; Philip McHaffie	10 to 50		Adult	
24509564623781981			20/06/2014	20/06/2014	D	20/06/2014	NBNSYS0000005639	Libellula quadrimaculata	D152500	315250	450050	OSI	100		Rathlin Island East	David Nixon		False	False		David Nixon	1		Adult	
24509564623781982			20/06/2014	20/06/2014	D	20/06/2014	NHMSYS0000344179	Ischnura elegans	D152500	315250	450050	OSI	100		Rathlin Island East	David Nixon		False	False		David Nixon	<10		Adult	
24509564623781983			03/05/2012	03/05/2012	D	03/05/2012	NBNSYS0000005599	Pyrrhosoma nymphula	D194366	319450	436650	OSI	100		Ballypatrick Forest	David Nixon		False	False		David Nixon	1			
24509564623781984			02/05/2012	02/05/2012	D	02/05/2012	NBNSYS0000005599	Pyrrhosoma nymphula	D194366	319450	436650	OSI	100		Ballypatrick Forest	David Nixon		False	False		David Nixon	1			
24509564623781985			30/08/2015	30/08/2015	D	30/08/2015	NBNSYS0000005624	Aeshna juncea	D291049	329150	404950	OSI	100		Starbog Road	Linda Thompson		False	False		Linda Thompson	1	Verified by Brian Nelson		
24509564623781986			24/05/2014	24/05/2014	D	24/05/2014	NBNSYS0000005599	Pyrrhosoma nymphula	D3015	330500	415500	OSI	1000		Glenarm Estate	Richard Weyl		False	False		Richard Weyl				
